utcDate,homeTeam,awayTeam,score
2025-08-08T19:15:00Z,CAS,SPO,0-2
2025-08-09T14:30:00Z,CDN,GIL,0-2
2025-08-09T19:30:00Z,FCA,AVS,3-1
2025-08-10T16:00:00Z,FAM,CD ,3-0
2025-08-10T19:30:00Z,SCB,TON,3-0
2025-08-10T19:30:00Z,MOR,ALV,2-1
2025-08-11T17:45:00Z,EST,AMA,1-1
2025-08-11T19:45:00Z,FCP,GUI,3-0
2025-08-15T14:30:00Z,AVS,CAS,0-2
2025-08-16T14:30:00Z,TON,FAM,0-1
2025-08-16T17:00:00Z,GUI,EST,3-2
2025-08-16T19:30:00Z,AMA,BEN,0-1
2025-08-17T14:30:00Z,RIO,CDN,1-1
2025-08-17T17:00:00Z,ALV,SCB,0-3
2025-08-17T17:00:00Z,CD ,MOR,0-1
2025-08-17T19:30:00Z,SPO,FCA,6-0
2025-08-18T19:15:00Z,GIL,FCP,0-2
2025-08-23T15:00:00Z,MOR,GUI,2-0
2025-08-23T17:00:00Z,CDN,SPO,1-4
2025-08-23T19:30:00Z,FCA,RIO,3-3
2025-08-23T19:30:00Z,BEN,TON,3-0
2025-08-24T14:30:00Z,FAM,GIL,0-0
2025-08-24T17:00:00Z,FCP,CAS,4-0
2025-08-24T19:30:00Z,SCB,AVS,2-2
2025-08-25T19:15:00Z,AMA,ALV,2-2
2025-08-29T19:15:00Z,GIL,MOR,2-0
2025-08-30T14:30:00Z,CAS,CDN,0-2
2025-08-30T17:00:00Z,AVS,FAM,0-1
2025-08-30T17:00:00Z,GUI,FCA,1-1
2025-08-30T19:30:00Z,SPO,FCP,1-2
2025-08-31T14:30:00Z,TON,EST,
2025-08-31T17:00:00Z,ALV,BEN,
2025-08-31T19:30:00Z,CD ,AMA,
2025-08-31T19:30:00Z,RIO,SCB,
2025-09-06T19:30:00Z,EST,CD ,
2025-09-14T00:00:00Z,AMA,GUI,
2025-09-14T00:00:00Z,ALV,TON,
2025-09-14T00:00:00Z,FCA,CAS,
2025-09-14T00:00:00Z,FAM,SPO,
2025-09-14T00:00:00Z,MOR,RIO,
2025-09-14T00:00:00Z,SCB,GIL,
2025-09-14T00:00:00Z,BEN,CD ,
2025-09-14T00:00:00Z,EST,AVS,
2025-09-14T00:00:00Z,FCP,CDN,
2025-09-21T00:00:00Z,AVS,BEN,
2025-09-21T00:00:00Z,CAS,FAM,
2025-09-21T00:00:00Z,GIL,EST,
2025-09-21T00:00:00Z,TON,AMA,
2025-09-21T00:00:00Z,CD ,ALV,
2025-09-21T00:00:00Z,CDN,FCA,
2025-09-21T00:00:00Z,RIO,FCP,
2025-09-21T00:00:00Z,SPO,MOR,
2025-09-21T00:00:00Z,GUI,SCB,
2025-09-23T19:15:00Z,BEN,RIO,
2025-09-28T00:00:00Z,EST,SPO,
2025-09-28T00:00:00Z,ALV,GUI,
2025-09-28T00:00:00Z,FCA,FCP,
2025-09-28T00:00:00Z,FAM,RIO,
2025-09-28T00:00:00Z,CD ,TON,
2025-09-28T00:00:00Z,SCB,CDN,
2025-09-28T00:00:00Z,BEN,GIL,
2025-09-28T00:00:00Z,AMA,AVS,
2025-09-28T00:00:00Z,MOR,CAS,
2025-10-05T00:00:00Z,AVS,ALV,
2025-10-05T00:00:00Z,CAS,EST,
2025-10-05T00:00:00Z,FCA,FAM,
2025-10-05T00:00:00Z,RIO,TON,
2025-10-05T00:00:00Z,GIL,AMA,
2025-10-05T00:00:00Z,CDN,MOR,
2025-10-05T00:00:00Z,GUI,CD ,
2025-10-05T00:00:00Z,SPO,SCB,
2025-10-05T00:00:00Z,FCP,BEN,
2025-10-26T00:00:00Z,EST,CDN,
2025-10-26T00:00:00Z,AMA,RIO,
2025-10-26T00:00:00Z,ALV,GIL,
2025-10-26T00:00:00Z,FAM,GUI,
2025-10-26T00:00:00Z,MOR,FCP,
2025-10-26T00:00:00Z,SCB,CAS,
2025-10-26T00:00:00Z,CD ,AVS,
2025-10-26T00:00:00Z,BEN,FCA,
2025-10-26T00:00:00Z,TON,SPO,
2025-11-02T00:00:00Z,AVS,TON,
2025-11-02T00:00:00Z,CAS,AMA,
2025-11-02T00:00:00Z,FCA,MOR,
2025-11-02T00:00:00Z,RIO,EST,
2025-11-02T00:00:00Z,SPO,ALV,
2025-11-02T00:00:00Z,CDN,FAM,
2025-11-02T00:00:00Z,GIL,CD ,
2025-11-02T00:00:00Z,FCP,SCB,
2025-11-02T00:00:00Z,GUI,BEN,
2025-11-09T00:00:00Z,ALV,RIO,
2025-11-09T00:00:00Z,FAM,FCP,
2025-11-09T00:00:00Z,CD ,SPO,
2025-11-09T00:00:00Z,SCB,MOR,
2025-11-09T00:00:00Z,BEN,CAS,
2025-11-09T00:00:00Z,EST,FCA,
2025-11-09T00:00:00Z,TON,GUI,
2025-11-09T00:00:00Z,AVS,GIL,
2025-11-09T00:00:00Z,AMA,CDN,
2025-11-30T00:00:00Z,FCA,SCB,
2025-11-30T00:00:00Z,GIL,TON,
2025-11-30T00:00:00Z,GUI,AVS,
2025-11-30T00:00:00Z,FCP,EST,
